StreetMarker,BlockId
9886N,1
9864N,2
8508E,3
8474E,3
8473W,4
8326E,5
8285W,6
10053S,7
10044N,8
10001S,9
12568N,10
12559S,10
12556N,10
12541S,10
12461S,11
12450N,11
12444N,11
12394N,12
12386N,12
12343S,13
12336N,13
12323S,13
12321S,13
12278N,14
12277S,15
12270N,14
12262N,15
12233S,16
12225S,16
12212N,16
12209S,16
12067W,17
12046E,17
12042E,17
12035W,18
11931W,19
11901W,20
11890E,20
11889W,20
11886E,20
11880E,20
11852E,21
11850E,21
11838E,21
11764E,22
11758E,22
11752E,22
11740E,22
11706E,23
14221W,24
14213W,24
14205W,24
C9198,25
C9126,25
12901S,25
12816N,26
12809S,26
12808N,26
5292E,27
5290E,27
5288E,27
5265W,28
5206E,27
5200E,27
5152E,29
5150E,29
5147W,29
5133W,29
5132E,29
5117W,29
5104E,30
5098E,30
5096E,30
5090E,30
5080E,30
5050E,30
5023W,30
5396E,31
5384E,32
10124E,33
10121W,33
10116E,33
C7728,34
C7716,35
C7704,35
7784N,36
7762N,37
7670N,38
7668N,39
7665S,39
7663S,39
10200E,40
10199W,40
10198E,40
10197W,40
10196E,40
10195W,40
10194E,40
10193W,40
10192E,40
10191W,40
10188E,40
10187W,40
10186E,40
10185W,40
10182E,40
10179W,40
10177W,40
10174E,40
10171W,40
10170E,40
10168E,40
10162E,40
10160E,40
10159W,40
10153W,40
10151W,40
C6420,41
C6396,41
C6392,41
6217W,42
6213W,42
7644N,43
7636N,43
7626N,43
7604N,44
7595S,44
7590N,45
7582N,45
7579S,45
7572N,45
7566N,45
C6178,46
C6166,46
C6108,46
C6080,46
6467S,47
C5954,48
C5938,48
C5934,48
C5932,48
C5930,48
C5890,48
C5878,48
C5872,48
C5870,48
5833W,49
5831W,49
5807W,49
C5800,50
C5798,50
C5796,50
C5786,50
C5776,50
C5766,50
C5756,50
C5752,50
C5740,50
C5738,50
C5734,50
C5710,50
C5700,51
C5688,51
C5648,51
C5626,51
C5618,51
C7244,52
C7238,52
C7226,52
C7224,52
C7222,52
C7218,52
C7168,53
C7166,53
7093S,54
7083S,54
7081S,54
7073S,54
C5566,55
C5552,55
C5542,55
C5482,55
C5478,55
C5426,56
C5418,56
5594E,55
5538E,55
5464E,55
5449W,55
5447W,55
5419W,56
C7046,57
C7044,57
C7032,57
7041S,57
7039S,57
7025S,57
7015S,57
6672N,58
6668N,58
6664N,58
6663S,58
6657S,58
6633S,58
6631S,58
6629S,58
6619S,58
6592N,58
6583S,58
6581S,58
6575S,58
C6970,59
C6956,59
C6952,59
C6898,59
C6860,59
C6836,59
C6812,59
C6796,59
C6788,59
C6784,59
C6776,59
C6762,59
C6752,59
C6750,59
C6748,59
C6746,59
C6734,59
C6702,58
C6674,58
C6670,58
C6640,58
C6624,58
C6620,58
C6602,58
C6598,58
6540N,60
6533S,60
6519S,60
C6562,60
C6558,60
C6476,47
C6474,47
C6472,47
6463S,47
6037S,61
6035S,61
6033S,61
6031S,61
6030N,61
6027S,61
6026N,61
6012N,61
6010N,61
6008N,61
6006N,61
6005S,62
5996N,62
5995S,63
5994N,62
5991S,63
5988N,62
5984N,63
5966N,63
5962N,63
C7410,64
C7402,64
C7394,64
4592E,65
4588E,65
4586E,65
4576E,65
4572E,65
4390E,66
4388E,66
4384E,66
4380E,66
4101W,67
4099W,67
5192E,68
5188E,68
5186E,68
5185W,68
5182E,68
6267S,69
C4880,70
C4834,71
C4830,71
4916E,70
4902E,70
4899W,70
4887W,70
4879W,70
4873W,70
4870E,70
4865W,70
4860E,72
4856E,72
4835W,71
4831W,71
5347W,73
5335W,74
5331W,74
5329W,74
5324E,74
5320E,74
5318E,74
5316E,74
5314E,74
5311W,74
5309W,74
4008N,75
4004N,75
3986N,75
3980N,75
3976N,75
3968N,75
3958N,75
3955S,75
3953S,75
3945S,75
3942N,76
3934N,76
3932N,76
3930N,76
3922N,76
3920N,76
3916N,76
3928N,76
3902N,76
3884N,77
3869S,77
3867S,77
3860N,77
3857S,77
3855S,77
3842N,78
3836N,78
3832N,78
3784N,79
3782N,79
3780N,79
3772N,79
3753S,79
3743S,79
3742N,80
3741S,79
3739S,80
3737S,80
3736N,80
3735S,80
3713S,80
3709S,80
3705S,80
3697S,80
3693S,80
3692N,81
3673S,81
3671S,81
3669S,81
3659S,81
3657S,81
3651S,81
3643S,81
3641S,81
3621S,82
3609S,82
C1220,83
C1132,84
3594N,85
3585S,85
3579S,85
3578N,85
3577S,85
3574N,85
3551S,86
3549S,86
3545S,86
3519S,86
3515S,86
3514N,86
3509S,86
3507S,86
3500N,87
3496N,87
3480N,87
3471S,87
3464N,87
3463S,87
3435S,88
3433S,88
3428N,89
3426N,89
3413S,89
3412N,89
3409S,89
3408N,89
3405S,89
3403S,89
3394N,89
3392N,89
3373S,90
3371S,90
3344N,91
3342N,91
3341S,91
3339S,91
3337S,91
3327S,91
3325S,91
3319S,91
3318N,91
3314N,91
3311S,91
3307S,91
3302N,91
3301S,91
3300N,91
3299S,91
C3272,92
C3248,92
C3244,92
C3240,92
C3236,92
C3184,92
C3172,92
C3168,92
C3162,92
3270N,92
3262N,92
3250N,92
3246N,92
3238N,92
3198N,92
3197S,92
3194N,92
3190N,92
3182N,92
3170N,92
3166N,92
3165S,92
3161S,92
C3132,93
C3128,93
C3122,93
C3062,93
C3058,93
C3046,93
C3026,93
C3022,93
C3014,93
C2998,93
C2986,93
3103S,93
3099S,93
3091S,93
3090N,93
3089S,93
3086N,93
3025S,93
3023S,93
3004N,93
2988N,93
C2970,94
C2962,94
C2958,94
C2954,94
C2940,94
C2936,94
C2926,94
C2924,94
C2920,94
C2914,94
2952N,94
2899S,95
2897S,95
2895S,95
2893S,95
2890N,95
C2854,96
C2852,96
C2836,96
C2834,96
C2824,96
C2820,96
C2812,96
C2810,96
C2800,96
C2782,96
C2780,96
C2774,96
C2772,96
2892N,96
2882N,96
2862N,96
2850N,96
2846N,96
2845S,96
2843S,96
2841S,96
2830N,96
2814N,96
2795S,96
2793S,96
C2764,97
C2760,97
C2748,97
C2728,97
C2724,97
C2716,97
C2712,97
C2692,97
C2676,97
C2668,97
C2664,97
C2660,97
C2658,97
C2642,97
2702N,97
2698N,97
2694N,97
2686N,97
2674N,97
2605S,98
2601S,98
2599S,98
2595S,98
2594N,98
2589S,98
2583S,99
2581S,99
2569S,99
2567S,99
2557S,100
2555S,100
2553S,100
2531S,101
2529S,101
2527S,101
2513S,102
2508N,102
2490N,103
2487S,103
C766,104
C762,104
C758,104
C748,104
767W,104
750E,104
738E,104
2473S,103
2468N,105
2463S,105
2457S,105
2450N,105
2448N,105
2443S,105
2441S,105
2437S,106
2431S,106
2426N,106
2424N,106
2418N,106
2416N,106
2402N,107
2399S,107
2394N,107
2380N,107
2365S,108
2363S,108
2357S,108
2348N,109
2346N,109
2345S,109
2344N,109
2343S,109
2340N,109
2338N,109
2337S,109
2336N,109
2321S,110
2319S,110
2305S,110
2301S,110
2295S,110
2289S,110
2287S,110
2285S,110
2283S,110
2273S,111
2260N,111
2254N,111
2252N,111
2251S,111
2244N,112
2238N,112
2234N,112
2230N,112
2225S,112
2223S,112
2208N,113
2206N,113
2200N,113
2153S,114
2151S,114
2149S,114
2145S,114
2143S,114
2141S,114
2139S,114
2041S,115
2039S,115
2037S,115
2002N,116
1988N,116
1979S,116
1977S,116
1975S,116
1973S,116
1960N,117
1958N,117
1956N,117
1954N,117
1950N,117
1948N,117
1946N,117
1944N,117
1938N,117
1927S,117
1926N,117
1925S,117
1916N,118
1908N,118
1906N,118
1903S,118
1902N,119
1900N,119
1896N,119
1892N,119
1863S,120
1861S,120
1858N,120
1851S,120
1847S,120
1846N,121
1845S,121
1843S,121
1841S,121
1835S,121
1811S,121
1804N,121
1789S,122
1787S,122
1785S,122
1775S,123
1773S,123
1738N,124
1732N,124
1727S,124
1725S,124
1718N,125
1710N,125
1709S,125
1708N,125
1699S,125
1693S,125
1691S,125
1664N,126
1662N,126
1660N,126
1596N,127
1583S,126
1579S,126
C188,128
C172,128
C150,129
C112,129
C100,129
130E,130
105W,128
101W,128
99W,128
95W,129
94E,130
93W,129
86E,130
85W,129
83W,129
81W,129
79W,131
78E,131
76E,131
75W,131
72E,131
69W,131
65W,131
63W,132
61W,132
57W,132
55W,132
52E,133
50E,133
47W,133
45W,133
43W,133
41W,134
2E,135
16E,135
14E,135
12E,135
10E,135
C632,136
C620,136
C596,136
C588,136
C584,137
C572,137
C560,137
C556,137
C548,137
C530,138
C526,138
C518,138
C504,138
C500,138
C496,138
C492,138
C488,138
C480,139
C474,139
C462,139
C458,139
C454,139
C450,139
C446,139
C442,139
C412,140
C404,140
C384,141
C380,141
C364,141
C356,141
C352,141
C348,142
C344,142
C336,142
C332,142
C328,142
C304,142
C300,142
C296,142
557W,137
C268,143
C236,143
C228,143
C212,143
C208,143
C204,143
634E,136
627W,136
625W,136
570E,137
566E,137
562E,137
558E,137
553W,137
549W,137
490E,138
489W,138
487W,138
486E,138
460E,139
2137S,114
452E,139
448E,139
439W,140
433W,140
425W,140
385W,141
379W,141
358E,141
354E,141
346E,142
342E,142
334E,142
330E,142
291W,142
289W,142
287W,142
285W,142
253W,143
C886,144
C874,144
C862,144
C858,144
C846,144
C842,144
C830,145
C828,145
C824,145
C822,145
C818,145
C810,145
C798,145
C790,145
C736,104
C726,104
C722,104
C700,146
C688,146
C680,146
C670,146
C668,146
C664,146
895W,147
880E,144
848E,144
816E,145
812E,145
795W,145
793W,145
791W,145
789W,145
779W,148
775W,148
773W,148
769W,148
694E,146
675W,146
1002E,149
962E,150
961W,150
959W,150
951W,151
910E,152
904E,153
902E,153
900E,153
898E,153
C996,154
C992,154
C988,154
C986,154
C1270,155
C1262,155
C1256,155
C1252,155
C1246,83
C1238,83
C1234,83
C1226,83
C1224,83
C1222,83
C1220,83
C1214,83
C1212,83
C1208,83
C1204,83
C1202,83
C1190,156
C1186,156
C1176,156
C1174,156
C1172,156
C1162,156
C1158,156
C1156,156
C1154,156
C1148,84
C1146,84
C1144,84
C1138,84
C1134,84
C1128,84
C1124,84
C1122,84
C1120,84
C1119,157
C1118,84
C1113,157
C1108,158
C1106,158
C1102,158
C1100,158
C1098,158
C1090,158
C1086,158
C1082,158
C1050,154
C1048,154
C1046,154
C1044,154
C1040,154
C1036,154
C1032,154
C1028,154
C1024,154
C1020,154
C1016,159
C1012,154
C1008,154
C1004,154
C1000,154
998E,159
994E,159
981W,159
977W,159
973W,159
1272E,155
1261W,155
1257W,155
1232E,83
1228E,83
1215W,83
1211W,83
1209W,83
1207W,83
1205W,83
1203W,83
1200E,156
1198E,156
1194E,156
1188E,156
1177W,156
1175W,156
1157W,156
1155W,156
1112E,157
1110E,157
1382E,160
1372E,160
1371W,160
1369W,161
1365W,161
1363W,161
1356E,162
1354E,162
1353W,162
1352E,162
1349W,162
1343W,163
1341W,163
1339W,163
1335W,163
1333W,163
1321W,164
1316E,164
1315W,164
1313W,164
1311W,164
1307W,164
1305W,164
1297W,165
1294E,166
1291W,166
1289W,166
1287W,166
C1840,167
C1838,167
C1826,167
C1824,167
C1818,167
1816E,168
1812E,168
1808E,168
2261W,169
2259W,169
2257W,169
1559W,170
1557W,170
1555W,170
1549W,171
1547W,171
1546E,172
1544E,172
1540E,172
1536E,173
1534E,173
1532E,173
1528E,173
1526E,173
1518E,174
1516E,174
13518E,175
1577W,176
1575W,176
1573W,176
4486E,177
4484E,177
4482E,177
4479W,177
4478E,177
4477W,177
4471W,177
4470E,177
4468E,178
4467W,177
4462E,178
4461W,178
4460E,178
4458E,178
4457W,178
4451W,178
4450E,178
1689W,179
1687W,179
1685W,179
1492E,180
1481W,180
1477W,181
1475W,181
1473W,181
1470E,181
1468E,181
1466E,181
1465W,181
1463W,181
1461W,181
1458E,182
1456E,182
1452E,182
1451W,182
1450E,182
1449W,182
1448E,182
1445W,182
1444E,182
1443W,182
1439W,182
1433W,183
1431W,183
1429W,183
1427W,183
1425W,183
1424E,184
1421W,184
1418E,184
1416E,184
1413W,184
1412E,184
1405W,184
1404E,184
1403W,184
1402E,184
1401W,184
1400E,179
1398E,179
1397W,179
1396E,179
1394E,179
1393W,179
1392E,179
1388E,179
1386E,179
1384E,179
C13724,185
C13720,185
C13716,185
C13712,185
C13696,185
C13692,185
C13688,185
C13664,185
C13656,186
C13636,186
C13632,186
C13628,186
C13620,186
C13616,186
C13600,187
C13596,187
C13552,188
C13544,188
C13540,188
C13536,188
C13528,188
C13520,188
C13508,188
C13504,188
13922E,189
13920E,189
13919W,189
13918E,189
13913W,190
13912E,191
13911W,190
13910E,192
13909W,190
13907W,191
13906E,192
13905W,191
13904E,192
13902E,192
13900E,192
13878N,194
13874N,194
13872N,194
13870N,194
13868N,194
13858N,195
13854N,195
13853S,194
13852N,195
13849S,196
13845S,197
13844N,195
13839S,197
13838N,195
13837S,197
13834N,195
13832N,195
13516E,198
13822N,199
13821S,200
13818N,201
13814N,201
13808N,201
13802N,202
13796E,203
13793W,204
13791W,204
13789W,204
13788E,203
13787W,204
13786E,203
13785W,204
13780E,203
13778E,205
13777W,203
13776E,205
13775W,203
13774E,205
13772E,205
13771W,203
13770E,205
13767W,203
13763W,203
13759W,203
13758E,206
13756E,206
13753W,203
13750E,206
13747W,205
13745W,205
13743W,205
13742E,206
13740E,206
13736E,206
13732E,206
13727W,207
13726E,206
13725W,206
1569W,170
13720E,206
13719W,208
13713W,209
13710E,209
13703W,210
13697W,210
13693W,210
13687W,210
13681W,210
13677W,210
13673W,210
13669W,211
13668E,211
13667W,211
13666E,211
13664E,212
13660E,212
1567W,170
13656E,212
13654E,213
13650E,213
13649W,213
13642E,214
13636E,214
13634E,215
13633W,214
13630E,215
13628E,215
13627W,215
13626E,216
13625W,216
13624E,216
13623W,216
13620E,216
13619W,216
13617W,216
13616E,216
13614E,216
13496E,198
13484E,217
13480E,217
13472E,218
13470E,218
13468E,218
13612E,219
13464E,220
13462E,220
13458E,220
13448E,221
13440E,221
13430E,221
13426E,222
13422E,222
13420E,222
13418E,222
13416E,222
13412E,222
13408E,222
13405W,223
13404E,222
13402E,222
13401W,223
13606E,219
13399W,223
13396E,220
1565W,170
13375W,224
13371W,224
13367W,224
13365W,225
13436E,221
13604E,219
13363W,225
13361W,225
13600E,219
13358E,226
13357W,225
13356E,226
13354E,227
13350E,227
13348E,227
13346E,227
13345W,228
13344E,227
13342E,227
13586E,229
13341W,228
13338E,227
13337W,228
13335W,228
13333W,228
13332E,227
13330E,227
13328E,227
13326E,227
13324E,227
13322E,227
13321W,230
13319W,230
13318E,231
13317W,230
13315W,230
13580E,232
13312E,231
13311W,230
13310N,233
13308N,234
13308E,231
13307W,230
13432E,221
13304N,234
1563W,170
1561W,170
13298E,227
13282N,235
13280N,235
13279S,236
13276N,237
13274N,237
13574E,232
13268N,237
13264N,237
13260N,185
13258N,185
13514E,198
13253S,238
13250N,186
13248N,186
13246N,186
13245S,238
13244N,186
13242N,186
13240N,186
13239S,238
13235S,187
13233S,187
13231S,239
13230N,240
13229S,239
13228N,240
13225S,239
13224N,241
13222N,241
13221S,242
13217S,242
13216N,241
13215S,242
13214N,241
13213S,242
13211S,242
13210N,241
13209S,242
13208N,241
13200N,242
13101W,219
13095W,219
13094N,243
13092N,243
13090N,243
13087S,244
13085S,244
13083S,244
13079S,245
13065S,245
13063S,246
13061S,246
13059S,246
13052N,245
13048N,245
13045S,247
13039S,247
13038N,245
13037S,247
13035S,247
13029S,248
13028N,245
13024N,247
13021S,248
13020N,247
13019S,248
13018N,247
13012N,248
13011S,248
13009S,248
13006N,248
13005S,248
13003S,248
13001S,248
12069W,17
1485W,180
2845S,96
1492E,180
5996N,62
11983W,249
79W,131
1809S,121
1280E,155
456E,139
2818N,96
C3136,93
12389S,12
C104,129
C6056,250
1716N,125
C3288,92
C1130,84
2143S,114
3751S,79
10003S,9
C6054,250
770E,148
3747S,79
3440N,251
2843S,96
C2792,96
3406N,89
1807S,121
C1202,83
52E,133
C988,154
2481S,103
C544,137
13037S,247
1954N,117
2037S,115
1549W,171
C1260,155
3745S,79
4485W,177
11979W,249
1373W,160
12284N,14
4594E,65
2234N,112
C2864,96
3238N,92
11787W,253
12388N,12
12465S,11
5236E,27
3314N,91
3016N,93
2625S,254
12067W,17
C2728,97
1292E,166
1738N,124
C454,139
1155W,156
C1100,158
3363S,90
C2646,97
C642,136
13018N,247
291W,142
3753S,79
C862,144
C2920,94
2444N,105
1938N,117
C1248,155
C1146,84
3311S,91
12371S,13
C992,154
2513S,102
12382N,12
C408,140
12418N,12
12375S,13
1927S,117
12395S,12
11991W,249
2635S,254
C668,146
1565W,170
C2836,96
3163S,92
973W,159
C1050,154
12275S,15
C786,145
C1036,154
C762a,104
12043W,17
2485S,103
C2832,96
C1174,156
895W,147
C3284,92
1456E,182
C1106,158
3709S,80
1497W,255
12512N,256
1450E,182
1734N,124
12089W,257
1664N,126
2399S,107
1321W,164
C474,139
C1136,84
2411S,102
81W,129
12457S,11
12365S,13
11921W,19
1451W,182
1236E,83
3027S,93
C3078,93
C3046,93
2988N,93
C518,138
C676,146
2476N,103
C3168,92
2319S,110
C620,136
3250N,92
1380E,160
C3248,92
570E,137
C1046,154
1396E,179
C3162,92
1194E,156
C638,136
1433W,183
1435W,183
C2828,96
4453W,178
C666,146
C2998,93
2847S,96
C2676,97
C6130,46
C720,146
3547S,86
C1120,84
1441W,182
4465W,178
2273S,111
3932N,76
2137S,114
1367W,161
3182N,92
439W,140
2318N,110
2316N,110
2311S,110
2309S,110
2297S,110
2299S,110
2305S,110
2287S,110
2327S,110
1697S,125
12396N,12
11533S,258
3426N,89
37W,134
1566E,259
4466E,178
2346N,109
12715S,260
13763W,203
1313W,164
2465S,105
1489W,180
8468E,3
11826E,21
13273S,261
1198E,156
1418E,184
3099S,93
12391S,12
C1000,154
13316E,231
2355S,108
1920N,118
1462E,181
1693S,125
12410N,12
12546N,10
12565S,10
12420N,12
13266N,237
C6530,60
1453W,182
3492N,87
8630E,262
7620N,43
8330E,5
3412N,89
4477W,177
1605W,259
3500N,87
3597S,85
8702E,262
3763S,79
3886N,77
13816N,201
1263W,168
5514E,55
1421W,184
1405W,184
1401W,184
1407W,184
1403W,184
2086N,263
14263W,24
14265W,24
14100E,264
14098E,264
14096E,264
14104E,264
14106E,264
14108E,264
14110E,264
14112E,264
14257W,24
14259W,24
14245W,24
14241W,24
14255W,24
14237W,24
14233W,24
14231W,24
14221W,24
14223W,24
14225W,24
14219W,24
14217W,24
14213W,24
14211W,24
10049S,7
5518E,55
14205W,24
14203W,24
14201W,24
14092E,264
14090E,264
14088E,264
14086E,264
14082E,264
14078E,264
14072E,264
14070E,264
14068E,264
5530E,55
14060E,264
14058E,264
14056E,264
14054E,264
14052E,264
14050E,264
14048E,264
14046E,264
14042E,264
14038E,264
14028E,264
14026E,264
14024E,264
14022E,264
14020E,264
14018E,264
6002N,61
6004N,61
6006N,61
6008N,61
6010N,61
6012N,61
6014N,61
6018N,61
6016N,61
6020N,61
6022N,61
6024N,61
6026N,61
6028N,61
6030N,61
14012E,264
14010E,264
1257W,155
C1208,83
14008E,264
7066N,54
5822E,49
14006E,264
14004E,264
14002E,264
14000E,264
9261S,265
C5630,51
C5666,51
1427W,183
4521W,266
10051S,7
1695S,125
C2756,97
11703W,23
3968N,75
5082E,30
682E,146
686E,146
4482E,177
7331W,267
10001S,9
13274N,237
1385W,169
12268N,14
C6302,41
C616,136
1837S,121
1815S,121
10199W,40
C3264,92
C2858,96
C268,143
C7002,59
C6756,59
C6470,47
C6282,41
3405S,89
C9044,26
C7734,34
C7034,57
C6476,47
C152,129
8003W,268
5088E,30
4456E,178
3659S,81
7805W,269
770E,148
769W,148
7013S,57
8810E,270
8640E,262
8632E,262
8476E,3
9950N,271
9529S,272
9527S,272
9457S,273
2208N,113
2340N,109
2674N,97
3025S,93
3345S,91
12545S,10
12559S,10
1861S,120
13031S,248
1926N,117
11033W,274
12483S,11
11768E,22
11766E,22
11764E,22
11762E,22
11760E,22
11758E,22
11756E,22
